"country","date","cases","deaths","recovered"
"Afghanistan",2020-01-22,0,0,0
"Afghanistan",2020-01-23,0,0,0
"Afghanistan",2020-01-24,0,0,0
"Afghanistan",2020-01-25,0,0,0
"Afghanistan",2020-01-26,0,0,0
"Afghanistan",2020-01-27,0,0,0
"Afghanistan",2020-01-28,0,0,0
"Afghanistan",2020-01-29,0,0,0
"Afghanistan",2020-01-30,0,0,0
"Afghanistan",2020-01-31,0,0,0
"Afghanistan",2020-02-01,0,0,0
"Afghanistan",2020-02-02,0,0,0
"Afghanistan",2020-02-03,0,0,0
"Afghanistan",2020-02-04,0,0,0
"Afghanistan",2020-02-05,0,0,0
"Afghanistan",2020-02-06,0,0,0
"Afghanistan",2020-02-07,0,0,0
"Afghanistan",2020-02-08,0,0,0
"Afghanistan",2020-02-09,0,0,0
"Afghanistan",2020-02-10,0,0,0
"Afghanistan",2020-02-11,0,0,0
"Afghanistan",2020-02-12,0,0,0
"Afghanistan",2020-02-13,0,0,0
"Afghanistan",2020-02-14,0,0,0
"Afghanistan",2020-02-15,0,0,0
"Afghanistan",2020-02-16,0,0,0
"Afghanistan",2020-02-17,0,0,0
"Afghanistan",2020-02-18,0,0,0
"Afghanistan",2020-02-19,0,0,0
"Afghanistan",2020-02-20,0,0,0
"Afghanistan",2020-02-21,0,0,0
"Afghanistan",2020-02-22,0,0,0
"Afghanistan",2020-02-23,0,0,0
"Afghanistan",2020-02-24,1,0,0
"Afghanistan",2020-02-25,0,0,0
"Afghanistan",2020-02-26,0,0,0
"Afghanistan",2020-02-27,0,0,0
"Afghanistan",2020-02-28,0,0,0
"Afghanistan",2020-02-29,0,0,0
"Afghanistan",2020-03-01,0,0,0
"Afghanistan",2020-03-02,0,0,0
"Afghanistan",2020-03-03,0,0,0
"Afghanistan",2020-03-04,0,0,0
"Afghanistan",2020-03-05,0,0,0
"Afghanistan",2020-03-06,0,0,0
"Afghanistan",2020-03-07,0,0,0
"Afghanistan",2020-03-08,3,0,0
"Afghanistan",2020-03-09,0,0,0
"Afghanistan",2020-03-10,1,0,0
"Afghanistan",2020-03-11,2,0,0
"Afghanistan",2020-03-12,0,0,0
"Afghanistan",2020-03-13,0,0,0
"Afghanistan",2020-03-14,4,0,0
"Afghanistan",2020-03-15,5,0,0
"Afghanistan",2020-03-16,5,0,1
"Afghanistan",2020-03-17,1,0,0
"Afghanistan",2020-03-18,0,0,0
"Afghanistan",2020-03-19,0,0,0
"Afghanistan",2020-03-20,2,0,0
"Afghanistan",2020-03-21,0,0,0
"Afghanistan",2020-03-22,16,1,0
"Afghanistan",2020-03-23,0,0,0
"Afghanistan",2020-03-24,34,0,0
"Afghanistan",2020-03-25,10,1,1
"Afghanistan",2020-03-26,10,2,0
"Afghanistan",2020-03-27,16,0,0
"Afghanistan",2020-03-28,0,0,0
"Afghanistan",2020-03-29,10,0,0
"Afghanistan",2020-03-30,50,0,0
"Afghanistan",2020-03-31,4,0,3
"Afghanistan",2020-04-01,63,0,0
"Afghanistan",2020-04-02,36,2,5
"Afghanistan",2020-04-03,8,0,0
"Afghanistan",2020-04-04,18,1,0
"Albania",2020-01-22,0,0,0
"Albania",2020-01-23,0,0,0
"Albania",2020-01-24,0,0,0
"Albania",2020-01-25,0,0,0
"Albania",2020-01-26,0,0,0
"Albania",2020-01-27,0,0,0
"Albania",2020-01-28,0,0,0
"Albania",2020-01-29,0,0,0
"Albania",2020-01-30,0,0,0
"Albania",2020-01-31,0,0,0
"Albania",2020-02-01,0,0,0
"Albania",2020-02-02,0,0,0
"Albania",2020-02-03,0,0,0
"Albania",2020-02-04,0,0,0
"Albania",2020-02-05,0,0,0
"Albania",2020-02-06,0,0,0
"Albania",2020-02-07,0,0,0
"Albania",2020-02-08,0,0,0
"Albania",2020-02-09,0,0,0
"Albania",2020-02-10,0,0,0
"Albania",2020-02-11,0,0,0
"Albania",2020-02-12,0,0,0
"Albania",2020-02-13,0,0,0
"Albania",2020-02-14,0,0,0
"Albania",2020-02-15,0,0,0
"Albania",2020-02-16,0,0,0
"Albania",2020-02-17,0,0,0
"Albania",2020-02-18,0,0,0
"Albania",2020-02-19,0,0,0
"Albania",2020-02-20,0,0,0
"Albania",2020-02-21,0,0,0
"Albania",2020-02-22,0,0,0
"Albania",2020-02-23,0,0,0
"Albania",2020-02-24,0,0,0
"Albania",2020-02-25,0,0,0
"Albania",2020-02-26,0,0,0
"Albania",2020-02-27,0,0,0
"Albania",2020-02-28,0,0,0
"Albania",2020-02-29,0,0,0
"Albania",2020-03-01,0,0,0
"Albania",2020-03-02,0,0,0
"Albania",2020-03-03,0,0,0
"Albania",2020-03-04,0,0,0
"Albania",2020-03-05,0,0,0
"Albania",2020-03-06,0,0,0
"Albania",2020-03-07,0,0,0
"Albania",2020-03-08,0,0,0
"Albania",2020-03-09,2,0,0
"Albania",2020-03-10,8,0,0
"Albania",2020-03-11,2,1,0
"Albania",2020-03-12,11,0,0
"Albania",2020-03-13,10,0,0
"Albania",2020-03-14,5,0,0
"Albania",2020-03-15,4,0,0
"Albania",2020-03-16,9,0,0
"Albania",2020-03-17,4,0,0
"Albania",2020-03-18,4,1,0
"Albania",2020-03-19,5,0,0
"Albania",2020-03-20,6,0,0
"Albania",2020-03-21,6,0,2
"Albania",2020-03-22,13,0,0
"Albania",2020-03-23,15,2,0
"Albania",2020-03-24,19,1,8
"Albania",2020-03-25,23,0,7
"Albania",2020-03-26,28,1,0
"Albania",2020-03-27,12,2,14
"Albania",2020-03-28,11,2,0
"Albania",2020-03-29,15,0,2
"Albania",2020-03-30,11,1,11
"Albania",2020-03-31,20,4,8
"Albania",2020-04-01,16,0,15
"Albania",2020-04-02,18,1,9
"Albania",2020-04-03,27,1,13
"Albania",2020-04-04,29,3,10
"Algeria",2020-01-22,0,0,0
"Algeria",2020-01-23,0,0,0
"Algeria",2020-01-24,0,0,0
"Algeria",2020-01-25,0,0,0
"Algeria",2020-01-26,0,0,0
"Algeria",2020-01-27,0,0,0
"Algeria",2020-01-28,0,0,0
"Algeria",2020-01-29,0,0,0
"Algeria",2020-01-30,0,0,0
"Algeria",2020-01-31,0,0,0
"Algeria",2020-02-01,0,0,0
"Algeria",2020-02-02,0,0,0
"Algeria",2020-02-03,0,0,0
"Algeria",2020-02-04,0,0,0
"Algeria",2020-02-05,0,0,0
"Algeria",2020-02-06,0,0,0
"Algeria",2020-02-07,0,0,0
"Algeria",2020-02-08,0,0,0
"Algeria",2020-02-09,0,0,0
"Algeria",2020-02-10,0,0,0
"Algeria",2020-02-11,0,0,0
"Algeria",2020-02-12,0,0,0
"Algeria",2020-02-13,0,0,0
"Algeria",2020-02-14,0,0,0
"Algeria",2020-02-15,0,0,0
"Algeria",2020-02-16,0,0,0
"Algeria",2020-02-17,0,0,0
"Algeria",2020-02-18,0,0,0
"Algeria",2020-02-19,0,0,0
"Algeria",2020-02-20,0,0,0
"Algeria",2020-02-21,0,0,0
"Algeria",2020-02-22,0,0,0
"Algeria",2020-02-23,0,0,0
"Algeria",2020-02-24,0,0,0
"Algeria",2020-02-25,1,0,0
"Algeria",2020-02-26,0,0,0
"Algeria",2020-02-27,0,0,0
"Algeria",2020-02-28,0,0,0
"Algeria",2020-02-29,0,0,0
"Algeria",2020-03-01,0,0,0
"Algeria",2020-03-02,2,0,0
"Algeria",2020-03-03,2,0,0
"Algeria",2020-03-04,7,0,0
"Algeria",2020-03-05,0,0,0
"Algeria",2020-03-06,5,0,0
"Algeria",2020-03-07,0,0,0
"Algeria",2020-03-08,2,0,0
"Algeria",2020-03-09,1,0,0
"Algeria",2020-03-10,0,0,0
"Algeria",2020-03-11,0,0,0
"Algeria",2020-03-12,4,1,8
"Algeria",2020-03-13,2,1,0
"Algeria",2020-03-14,11,1,4
"Algeria",2020-03-15,11,1,0
"Algeria",2020-03-16,6,0,0
"Algeria",2020-03-17,6,0,0
"Algeria",2020-03-18,14,3,0
"Algeria",2020-03-19,13,2,20
"Algeria",2020-03-20,3,2,0
"Algeria",2020-03-21,49,4,0
"Algeria",2020-03-22,62,2,33
"Algeria",2020-03-23,29,0,0
"Algeria",2020-03-24,34,2,-41
"Algeria",2020-03-25,38,2,41
"Algeria",2020-03-26,65,4,-36
"Algeria",2020-03-27,42,1,0
"Algeria",2020-03-28,45,3,2
"Algeria",2020-03-29,57,2,0
"Algeria",2020-03-30,73,4,6
"Algeria",2020-03-31,132,9,9
"Algeria",2020-04-01,131,14,15
"Algeria",2020-04-02,139,28,0
"Algeria",2020-04-03,185,19,1
"Algeria",2020-04-04,80,25,28
"Andorra",2020-01-22,0,0,0
"Andorra",2020-01-23,0,0,0
"Andorra",2020-01-24,0,0,0
"Andorra",2020-01-25,0,0,0
"Andorra",2020-01-26,0,0,0
"Andorra",2020-01-27,0,0,0
"Andorra",2020-01-28,0,0,0
"Andorra",2020-01-29,0,0,0
"Andorra",2020-01-30,0,0,0
"Andorra",2020-01-31,0,0,0
"Andorra",2020-02-01,0,0,0
"Andorra",2020-02-02,0,0,0
"Andorra",2020-02-03,0,0,0
"Andorra",2020-02-04,0,0,0
"Andorra",2020-02-05,0,0,0
"Andorra",2020-02-06,0,0,0
"Andorra",2020-02-07,0,0,0
"Andorra",2020-02-08,0,0,0
"Andorra",2020-02-09,0,0,0
"Andorra",2020-02-10,0,0,0
"Andorra",2020-02-11,0,0,0
"Andorra",2020-02-12,0,0,0
"Andorra",2020-02-13,0,0,0
"Andorra",2020-02-14,0,0,0
"Andorra",2020-02-15,0,0,0
"Andorra",2020-02-16,0,0,0
"Andorra",2020-02-17,0,0,0
"Andorra",2020-02-18,0,0,0
"Andorra",2020-02-19,0,0,0
